"station" "ian" "mo" "jo" "jul" "min.temp" "max.temp" "solar.rad" "PET" "precip." "windspeed" "vapour.pressure" "CO2" "GDD"
"1" "EAST_POINT_(AUT)" 2001 1 1 1 -1.5 0.4 2.1747943210809 -999.9 0.4 8.64583333333333 5.08690121703633 330 0
"2" "EAST_POINT_(AUT)" 2001 1 2 2 -6.7 -0.8 3.8536940243796 -999.9 0 5.625 3.61278002247239 330 0
"3" "EAST_POINT_(AUT)" 2001 1 3 3 -8.2 -4.8 2.94294886058741 -999.9 0 5.74074074074075 2.83849103428256 330 0
"4" "EAST_POINT_(AUT)" 2001 1 4 4 -8.3 -0.3 4.54317079692138 -999.9 1 7.04861111111111 3.31584922941986 330 0
"5" "EAST_POINT_(AUT)" 2001 1 5 5 -9.5 -0.5 4.85155882685801 -999.9 0.2 4.87268518518519 3.35871223530122 330 0
"6" "EAST_POINT_(AUT)" 2001 1 6 6 -8.7 -1.1 4.49039120083891 -999.9 2.4 7.07175925925925 3.29531317112513 330 0
"7" "EAST_POINT_(AUT)" 2001 1 7 7 -2.2 0 2.43429629630769 -999.9 37.6 5.89120370370369 5.18741770490639 330 0
"8" "EAST_POINT_(AUT)" 2001 1 8 8 -3.2 -1.3 2.28027306164813 -999.9 1 3.32175925925925 4.92690921882718 330 0
"9" "EAST_POINT_(AUT)" 2001 1 9 9 -7.3 -3.7 3.16495997103066 -999.9 0 0.520833333333333 3.77912252546972 330 0
"10" "EAST_POINT_(AUT)" 2001 1 10 10 -6 -3.7 2.55177478389119 -999.9 1.8 5.38194444444445 3.70078073886206 330 0
"11" "EAST_POINT_(AUT)" 2001 1 11 11 -9.8 -5.4 3.56136274488828 -999.9 0 4.62962962962964 2.92171257782919 330 0
"12" "EAST_POINT_(AUT)" 2001 1 12 12 -7.8 -5 2.86764699232995 -999.9 2.6 11.3773148148148 3.07291434859304 330 0
"13" "EAST_POINT_(AUT)" 2001 1 13 13 -10.7 -5 4.1312503200239 -999.9 0 7.23379629629631 2.59878470039741 330 0
"14" "EAST_POINT_(AUT)" 2001 1 14 14 -7.7 -3 3.78901400203549 -999.9 0.4 7.95138888888889 3.33538712702493 330 0
