"ian","soil","stn_code","period","Yield, stress","Yield, no stress","Low market yield, stress","Low market yield, no stress","High market yield, stress","High market yield, no stress","Gains.total","Gains.market.low","Gains.market.high","min.temp","max.temp","precip.cum","windspeed","vapour.pressure","radiation","GDD","station","cetm","precip_e","CWR"
2001,"CTW","S","GS",23.71036,43.32871,16.597252,30.330097,21.339324,38.995839,19.61835,13.732845,17.656515,13.8179838709677,22.9352419354839,142.7,4.28770245956156,16.5045706436959,17.1901436689486,1635.25,"SUMMERSIDE",263.4577,142.7,120.7577
2001,"CTW","S","julaug",23.71036,43.32871,16.597252,30.330097,21.339324,38.995839,19.61835,13.732845,17.656515,15.4209677419355,24.6354838709677,33.5,4.37765599266043,18.2648567106945,18.0643585268026,931.75,"SUMMERSIDE",171.44144,33.5,137.94144
2002,"CTW","S","GS",39.86977,43.09909,27.908839,30.169363,35.882793,38.789181,3.22931999999999,2.260524,2.90638799999999,12.6538978494624,21.1956720430108,355.6,4.16568822723495,14.9518598208566,16.6625391948447,1459.45,"SUMMERSIDE",344.767,355.6,-10.833
2002,"CTW","S","julaug",39.86977,43.09909,27.908839,30.169363,35.882793,38.789181,3.22931999999999,2.260524,2.90638799999999,14.9661290322581,23.5096774193548,145.1,3.83512544802867,17.1098760801901,17.4363995564264,882.75,"SUMMERSIDE",194.1321,145.1,49.0321
2003,"CTW","S","GS",40.79945,43.34584,28.559615,30.342088,36.719505,39.011256,2.54639,1.782473,2.291751,13.7502419354839,22.7022580645161,275.7,4.32569046737832,16.6054631530596,16.9506087865304,1616.5,"SUMMERSIDE",350.51985,275.7,74.81985
2003,"CTW","S","julaug",40.79945,43.34584,28.559615,30.342088,36.719505,39.011256,2.54639,1.782473,2.291751,15.5854838709677,23.7645161290323,139.9,4.33915770609319,18.374954025535,16.9421445482269,909.85,"SUMMERSIDE",198.30861,139.9,58.40861
2004,"CTW","S","GS",38.85445,40.48716,27.198115,28.341012,34.969005,36.438444,1.63271,1.142897,1.469439,13.0812096774194,20.8255376344086,301.3,4.63933492709717,15.3097389131388,15.6770462347669,1463.75,"SUMMERSIDE",314.24898,301.3,12.94898
2004,"CTW","S","julaug",38.85445,40.48716,27.198115,28.341012,34.969005,36.438444,1.63271,1.142897,1.469439,15.8274193548387,23.5177419354839,168.6,4.14723701737201,18.3310141274169,16.2862279349037,909.7,"SUMMERSIDE",176.95338,153.3,23.65338
2005,"CTW","S","GS",34.68052,42.23464,24.276364,29.564248,31.212468,38.011176,7.55412,5.28788399999999,6.798708,13.2628225806452,21.4875,314.4,4.78699508266114,16.0436453026786,16.0591293215295,1512.9,"SUMMERSIDE",342.58552,314.4,28.18552
2005,"CTW","S","julaug",34.68052,42.23464,24.276364,29.564248,31.212468,38.011176,7.55412,5.28788399999999,6.798708,14.7806451612903,23.1,94.4,4.41595373214997,17.7894294228415,16.7767096925096,864.3,"SUMMERSIDE",180.71105,88.6,92.11105
2006,"CTW","S","GS",44.7664,44.78294,31.33648,31.348058,40.28976,40.304646,0.0165400000000062,0.0115780000000072,0.0148860000000042,13.3616129032258,21.827876344086,376.9,4.65154488727858,16.803545785357,16.2422417362605,1539.25,"SUMMERSIDE",335.84657,376.9,-41.05343
2006,"CTW","S","julaug",44.7664,44.78294,31.33648,31.348058,40.28976,40.304646,0.0165400000000062,0.0115780000000072,0.0148860000000042,14.5032258064516,23.3774193548387,168.2,4.41550925925926,17.9119117131335,17.5244765112901,864.3,"SUMMERSIDE",198.07961,167.6,30.47961
2007,"CTW","S","GS",49.28965,49.28965,34.502755,34.502755,44.360685,44.360685,0,0,0,11.7982795698925,21.3543548387097,306.6,4.56552617347308,15.2243939814964,17.3857423506035,1417,"SUMMERSIDE",335.72206,306.6,29.12206
