"ian" "soil" "stn_code" "period" "Yield, stress" "Yield, no stress" "Low market yield, stress" "Low market yield, no stress" "High market yield, stress" "High market yield, no stress" "Gains.total" "Gains.market.low" "Gains.market.high" "min.temp" "max.temp" "precip.cum" "windspeed" "vapour.pressure" "radiation" "GDD" "station" "cetm" "precip_e" "CWR"
2001 "CTW" "S" "GS" 27.57517 43.3617 19.302619 30.35319 24.817653 39.02553 15.78653 11.050571 14.207877 13.8179838709677 22.9352419354839 142.7 4.28770245956156 16.5045706436959 17.1901436689486 1635.25 "SUMMERSIDE" 265.84388 142.7 123.14388
2001 "CTW" "S" "julaug" 27.57517 43.3617 19.302619 30.35319 24.817653 39.02553 15.78653 11.050571 14.207877 15.4209677419355 24.6354838709677 33.5 4.37765599266043 18.2648567106945 18.0643585268026 931.75 "SUMMERSIDE" 168.89573 33.5 135.39573
2002 "CTW" "S" "GS" 32.81389 32.81389 22.969723 22.969723 29.532501 29.532501 0 0 0 12.6538978494624 21.1956720430108 355.6 4.16568822723495 14.9518598208566 16.6625391948447 1459.45 "SUMMERSIDE" 301.28175 355.6 -54.31825
2002 "CTW" "S" "julaug" 32.81389 32.81389 22.969723 22.969723 29.532501 29.532501 0 0 0 14.9661290322581 23.5096774193548 145.1 3.83512544802867 17.1098760801901 17.4363995564264 882.75 "SUMMERSIDE" 150.35713 145.1 5.25712999999999
2003 "CTW" "S" "GS" 40.50084 42.88385 28.350588 30.018695 36.450756 38.595465 2.38301000000001 1.66810700000001 2.14470900000001 13.7502419354839 22.7022580645161 275.7 4.32569046737832 16.6054631530596 16.9506087865304 1616.5 "SUMMERSIDE" 360.78929 275.7 85.0892900000001
2003 "CTW" "S" "julaug" 40.50084 42.88385 28.350588 30.018695 36.450756 38.595465 2.38301000000001 1.66810700000001 2.14470900000001 15.5854838709677 23.7645161290323 139.9 4.33915770609319 18.374954025535 16.9421445482269 909.85 "SUMMERSIDE" 198.49247 139.9 58.59247
2004 "CTW" "S" "GS" 33.98466 33.98466 23.789262 23.789262 30.586194 30.586194 0 0 0 13.0812096774194 20.8255376344086 301.3 4.63933492709717 15.3097389131388 15.6770462347669 1463.75 "SUMMERSIDE" 284.90802 301.3 -16.39198
2004 "CTW" "S" "julaug" 33.98466 33.98466 23.789262 23.789262 30.586194 30.586194 0 0 0 15.8274193548387 23.5177419354839 168.6 4.14723701737201 18.3310141274169 16.2862279349037 909.7 "SUMMERSIDE" 147.13814 153.3 -6.16186000000002
2005 "CTW" "S" "GS" 37.26997 42.13152 26.088979 29.492064 33.542973 37.918368 4.86155 3.403085 4.375395 13.2628225806452 21.4875 314.4 4.78699508266114 16.0436453026786 16.0591293215295 1512.9 "SUMMERSIDE" 343.32314 314.4 28.92314
2005 "CTW" "S" "julaug" 37.26997 42.13152 26.088979 29.492064 33.542973 37.918368 4.86155 3.403085 4.375395 14.7806451612903 23.1 94.4 4.41595373214997 17.7894294228415 16.7767096925096 864.3 "SUMMERSIDE" 177.93427 88.6 89.33427
2006 "CTW" "S" "GS" 44.66818 44.66818 31.267726 31.267726 40.201362 40.201362 0 0 0 13.3616129032258 21.827876344086 376.9 4.65154488727858 16.803545785357 16.2422417362605 1539.25 "SUMMERSIDE" 342.12945 376.9 -34.77055
2006 "CTW" "S" "julaug" 44.66818 44.66818 31.267726 31.267726 40.201362 40.201362 0 0 0 14.5032258064516 23.3774193548387 168.2 4.41550925925926 17.9119117131335 17.5244765112901 864.3 "SUMMERSIDE" 200.52764 167.6 32.92764
2007 "CTW" "S" "GS" 47.03243 47.03243 32.922701 32.922701 42.329187 42.329187 0 0 0 11.7982795698925 21.3543548387097 306.6 4.56552617347308 15.2243939814964 17.3857423506035 1417 "SUMMERSIDE" 326.65399 306.6 20.05399
2007 "CTW" "S" "julaug" 47.03243 47.03243 32.922701 32.922701 42.329187 42.329187 0 0 0 14.3032258064516 23.5387096774194 162.5 4.28181342999891 17.6887390389393 17.9633949403632 863.1 "SUMMERSIDE" 189.04429 160 29.04429
2008 "CTW" "S" "GS" 47.09848 47.09848 32.968936 32.968936 42.388632 42.388632 0 0 0 12.2163440860215 20.7075 348.01 4.65492913027915 15.4579916584465 16.3740726770655 1402.4 "SUMMERSIDE" 301.43727 348.01 -46.57273
2008 "CTW" "S" "julaug" 47.09848 47.09848 32.968936 32.968936 42.388632 42.388632 0 0 0 14.1193548387097 22.85 142.45 4.54538423792456 17.2518175998357 17.467010911563 836.05 "SUMMERSIDE" 173.81365 142.05 31.76365
2009 "CTW" "S" "GS" 47.04737 47.04737 32.933159 32.933159 42.342633 42.342633 0 0 0 12.1788172043011 21.334435483871 501.78 4.62434807948921 15.6215162088834 17.117100192217 1438.3 "SUMMERSIDE" 333.24396 501.78 -168.53604
2009 "CTW" "S" "julaug" 47.04737 47.04737 32.933159 32.933159 42.342633 42.342633 0 0 0 14.3209677419355 23.1838709677419 318.18 4.30077949231175 17.9257612249263 17.6538869502321 852.65 "SUMMERSIDE" 199.93314 318.18 -118.24686
2010 "CTW" "S" "GS" 46.88819 46.88819 32.821733 32.821733 42.199371 42.199371 0 0 0 12.274435483871 21.6662903225806 446.91 4.48251730183635 15.8355816299829 17.3138732473931 1464.95 "SUMMERSIDE" 361.23226 446.91 -85.67774
2010 "CTW" "S" "julaug" 46.88819 46.88819 32.821733 32.821733 42.199371 42.199371 0 0 0 14.3338709677419 24.1725806451613 198.41 4.20573340936244 17.954120104516 18.5068014995115 883.7 "SUMMERSIDE" 209.06377 196.31 12.75377
2011 "CTW" "S" "GS" 44.67001 44.67001 31.269007 31.269007 40.203009 40.203009 0 0 0 11.9776075268817 21.0606720430108 273.1 4.71799652182571 15.4306940011657 16.8791868605313 1409.7 "SUMMERSIDE" 316.93896 273.1 43.83896
2011 "CTW" "S" "julaug" 44.67001 44.67001 31.269007 31.269007 40.203009 40.203009 0 0 0 14.2935483870968 23.1096774193548 195.2 4.84995909303413 17.4122548116199 17.4957221567342 849.5 "SUMMERSIDE" 184.90725 195.2 -10.29275
2012 "CTW" "S" "GS" 42.49393 43.25877 29.745751 30.281139 38.244537 38.932893 0.76484 0.535387999999998 0.688355999999999 12.9508064516129 22.3393010752688 347.4 4.68715924389209 15.7662504140472 17.2734228704347 1547.75 "SUMMERSIDE" 338.03852 347.4 -9.36147999999997
2012 "CTW" "S" "julaug" 42.49393 43.25877 29.745751 30.281139 38.244537 38.932893 0.76484 0.535387999999998 0.688355999999999 15.2016129032258 25.141935483871 115.9 4.2185633213859 17.7878617562415 18.651220277825 940.65 "SUMMERSIDE" 187.88979 115.6 72.28979
2013 "CTW" "S" "GS" 43.47076 45.60901 30.429532 31.926307 39.123684 41.048109 2.13825 1.496775 1.924425 12.7949462365591 22.3044623655914 322.7 4.6654499918737 15.6756476945004 17.4926094501221 1535.5 "SUMMERSIDE" 340.23485 322.7 17.53485
2013 "CTW" "S" "julaug" 43.47076 45.60901 30.429532 31.926307 39.123684 41.048109 2.13825 1.496775 1.924425 14.6532258064516 24.8822580645161 109.9 4.32534275078981 17.3198235617306 19.0096464580566 915.6 "SUMMERSIDE" 200.10302 105.3 94.80302
2014 "CTW" "S" "GS" 42.47773 44.07861 29.734411 30.855027 38.229957 39.670749 1.60088 1.120616 1.440792 13.0813978494624 22.2386559139785 271.7 5.02613392377885 15.9010592803679 17.0839604492014 1549.2 "SUMMERSIDE" 347.79151 271.7 76.09151
2014 "CTW" "S" "julaug" 42.47773 44.07861 29.734411 30.855027 38.229957 39.670749 1.60088 1.120616 1.440792 15.6661290322581 24.3306451612903 129.9 5.20304951690821 18.5429811812811 17.518876357637 929.9 "SUMMERSIDE" 181.06153 113.9 67.16153
2015 "CTW" "S" "GS" 39.66849 39.66849 27.767943 27.767943 35.701641 35.701641 0 0 0 13.2104301075269 22.4181451612903 394 4.63203479541795 16.8827597464904 17.1304495076245 1568.2 "SUMMERSIDE" 308.71496 394 -85.28504
2015 "CTW" "S" "julaug" 39.66849 39.66849 27.767943 27.767943 35.701641 35.701641 0 0 0 15.9241935483871 24.5612903225806 150.9 4.38762626262626 20.2571462346439 17.4547545185228 945.05 "SUMMERSIDE" 149.143 135.8 13.343
2016 "CTW" "S" "GS" 41.99239 45.48684 29.394673 31.840788 37.793151 40.938156 3.49445 2.446115 3.145005 12.212311827957 21.6145698924731 250.9 4.72679584826762 15.6706198878886 17.2921208878121 1457 "SUMMERSIDE" 330.47823 250.9 79.57823
2016 "CTW" "S" "julaug" 41.99239 45.48684 29.394673 31.840788 37.793151 40.938156 3.49445 2.446115 3.145005 13.7112903225806 23.6758064516129 143.1 4.32048984468339 17.3229169849919 18.6046040144555 849 "SUMMERSIDE" 193.23427 134.5 58.73427
2017 "CTW" "S" "GS" 32.5905 48.69589 22.81335 34.087123 29.33145 43.826301 16.10539 11.273773 14.494851 12.2491935483871 22.2362365591398 220.3 4.68712015154436 15.5686797937654 17.9454906854563 1496.6 "SUMMERSIDE" 302.12167 220.3 81.82167
2017 "CTW" "S" "julaug" 32.5905 48.69589 22.81335 34.087123 29.33145 43.826301 16.10539 11.273773 14.494851 13.5483870967742 23.9258064516129 70.7 4.34963662744337 16.5154818602705 19.1697432355212 851.7 "SUMMERSIDE" 190.68891 70.7 119.98891
2018 "CTW" "S" "GS" 41.85635 41.86769 29.299445 29.307383 37.670715 37.680921 0.0113400000000041 0.00793800000000289 0.0102060000000037 12.0520967741935 22.0788709677419 347.3 4.89760512504571 15.7171902313501 17.9325935816971 1481.5 "SUMMERSIDE" 357.84958 347.3 10.54958
2018 "CTW" "S" "julaug" 41.85635 41.86769 29.299445 29.307383 37.670715 37.680921 0.0113400000000041 0.00793800000000289 0.0102060000000037 15.9241935483871 25.2677419354839 169.1 4.62574232201841 19.2058678204628 18.2631332726924 966.95 "SUMMERSIDE" 191.38223 169.1 22.28223
2019 "CTW" "S" "GS" 43.08454 48.05984 30.159178 33.641888 38.776086 43.253856 4.9753 3.48271 4.47777 11.7532258064516 21.6797043010753 488.31 4.4807875678623 14.8393946181148 17.8827550807689 1434.65 "SUMMERSIDE" 349.83422 488.31 -138.47578
2019 "CTW" "S" "julaug" 43.08454 48.05984 30.159178 33.641888 38.776086 43.253856 4.9753 3.48271 4.47777 14.1564516129032 24.5177419354839 152.5 4.1397001357246 17.2143886205364 19.1147439275331 888.9 "SUMMERSIDE" 193.67472 152.5 41.17472
2020 "CTW" "S" "GS" 40.30086 44.37989 28.210602 31.065923 36.270774 39.941901 4.07903 2.855321 3.671127 12.6656451612903 22.9421774193548 235.3 5.00884978377747 16.0089193887692 18.0551482559833 1566.45 "SUMMERSIDE" 271.33153 235.3 36.03153
2020 "CTW" "S" "julaug" 40.30086 44.37989 28.210602 31.065923 36.270774 39.941901 4.07903 2.855321 3.671127 14.8112903225806 25.1693548387097 126.6 4.58961818000796 17.9813281825324 18.9469040645647 929.4 "SUMMERSIDE" 162.33637 126.6 35.73637
2021 "CTW" "S" "GS" 34.60973 34.60973 24.226811 24.226811 31.148757 31.148757 0 0 0 13.41 22.6398655913979 490.85 4.88842322945706 17.0257107576497 17.2877231251081 1591.3 "SUMMERSIDE" 336.13752 490.85 -154.71248
2021 "CTW" "S" "julaug" 34.60973 34.60973 24.226811 24.226811 31.148757 31.148757 0 0 0 14.7 23.608064516129 214.74 4.48588709677419 18.3513542424141 17.6266701828201 877.55 "SUMMERSIDE" 174.1983 214.74 -40.5417
2022 "CTW" "S" "GS" 43.68197 43.89221 30.577379 30.724547 39.313773 39.502989 0.210239999999999 0.147168000000001 0.189216000000002 13.0670698924731 22.5002956989247 444.6 4.49274971375946 16.8176033554864 17.3347198556775 1564.65 "SUMMERSIDE" 354.60005 444.6 -89.99995
2022 "CTW" "S" "julaug" 43.68197 43.89221 30.577379 30.724547 39.313773 39.502989 0.210239999999999 0.147168000000001 0.189216000000002 15.4758064516129 25.1322580645161 237.7 4.59416069295102 19.3229891959101 18.4636706180568 948.85 "SUMMERSIDE" 211.0078 213.8 -2.79219999999998
2023 "CTW" "S" "GS" 39.51287 39.51287 27.659009 27.659009 35.561583 35.561583 0 0 0 13.6613440860215 22.0550268817204 451.76 4.44950434997775 18.0465092973639 16.256198667368 1573.05 "SUMMERSIDE" 317.30193 451.76 -134.45807
2023 "CTW" "S" "julaug" 39.51287 39.51287 27.659009 27.659009 35.561583 35.561583 0 0 0 15.9193548387097 24.1483870967742 275.6 4.05540621266428 19.932844870967 17.0204663434214 932.1 "SUMMERSIDE" 192.84319 275 -82.15681
2024 "CTW" "S" "GS" 34.35479 41.94495 24.048353 29.361465 30.919311 37.750455 7.59016 5.313112 6.831144 13.8806720430108 23.037688172043 344.8 4.51017202299015 18.7596093912843 17.0919774816161 1646.45 "SUMMERSIDE" 279.9896 344.8 -64.8104
2024 "CTW" "S" "julaug" 34.35479 41.94495 24.048353 29.361465 30.919311 37.750455 7.59016 5.313112 6.831144 15.8596774193548 25.4887096774194 101.3 4.22298679289387 21.3052542608608 18.2430678167952 971.8 "SUMMERSIDE" 153.96784 101.3 52.66784
2001 "CTW" "NG" "GS" 28.34074 45.31247 19.838518 31.718729 25.506666 40.781223 16.97173 11.880211 15.274557 12.8665322580645 22.9974462365591 186.4 4.0083788357624 14.9619285034311 17.8400293386164 1581.25 "NEW_GLASGOW" 309.5942 186.4 123.1942
2001 "CTW" "NG" "julaug" 28.34074 45.31247 19.838518 31.718729 25.506666 40.781223 16.97173 11.880211 15.274557 14.508064516129 24.9032258064516 61.4 3.93599915032243 16.4683890885382 19.0253029146639 911.75 "NEW_GLASGOW" 212.59221 61.4 151.19221
2002 "CTW" "NG" "GS" 43.68745 43.68745 30.581215 30.581215 39.318705 39.318705 0 0 0 11.9372311827957 20.9467741935484 502.3 3.97535470904306 14.4313588265787 16.8912746330205 1400.75 "NEW_GLASGOW" 383.27252 502.3 -119.02748
2002 "CTW" "NG" "julaug" 43.68745 43.68745 30.581215 30.581215 39.318705 39.318705 0 0 0 14.2661290322581 23.4435483870968 162.6 3.72328724954076 16.4978271702652 17.8783778400764 859 "NEW_GLASGOW" 211.97464 162.6 49.37464
2003 "CTW" "NG" "GS" 44.32576 44.3714 31.028032 31.05998 39.893184 39.93426 0.0456399999999988 0.0319479999999999 0.0410759999999968 13.0818548387097 22.5795698924731 335.1 3.03792844586586 13.0656431951761 17.2837567312591 1568.75 "NEW_GLASGOW" 383.35157 335.1 48.25157
2003 "CTW" "NG" "julaug" 44.32576 44.3714 31.028032 31.05998 39.893184 39.93426 0.0456399999999988 0.0319479999999999 0.0410759999999968 15.3387096774194 23.7258064516129 196.7 3.10200606462002 14.6114479093987 17.0839694088993 901 "NEW_GLASGOW" 224.46807 196.1 28.36807
2004 "CTW" "NG" "GS" 43.63235 43.84233 30.542645 30.689631 39.269115 39.458097 0.209979999999995 0.146985999999995 0.188981999999989 12.0845430107527 20.8561827956989 348.5 3.76227100756671 14.6968543435707 16.5085033170056 1405 "NEW_GLASGOW" 357.60494 348.5 9.10494
2004 "CTW" "NG" "julaug" 43.63235 43.84233 30.542645 30.689631 39.269115 39.458097 0.209979999999995 0.146985999999995 0.188981999999989 14.9274193548387 23.6290322580645 162.4 3.56929510155317 17.4434005203344 17.202461314704 885.25 "NEW_GLASGOW" 190.27507 140.4 49.87507
2005 "CTW" "NG" "GS" 43.66951 43.89009 30.568657 30.723063 39.302559 39.501081 0.220579999999998 0.154406000000002 0.198521999999997 12.8477150537634 21.6810483870968 356.4 2.37409878749655 15.5786611039438 16.643092026596 1499.5 "NEW_GLASGOW" 329.74171 356.4 -26.6582900000001
