"ian","soil","stn_code","period","Yield, stress","Yield, no stress","Low market yield, stress","Low market yield, no stress","High market yield, stress","High market yield, no stress","Gains.total","Gains.market.low","Gains.market.high","min.temp","max.temp","precip.cum","windspeed","vapour.pressure","radiation","GDD","station","cetm","precip_e","CWR"
2001,"CTW","S","GS",22.96171,43.33119,16.073197,30.331833,20.665539,38.998071,20.36948,14.258636,18.332532,13.8179838709677,22.9352419354839,142.7,4.28770245956156,16.5045706436959,17.1901436689486,1635.25,"SUMMERSIDE",263.90503,142.7,121.20503
2001,"CTW","S","julaug",22.96171,43.33119,16.073197,30.331833,20.665539,38.998071,20.36948,14.258636,18.332532,15.4209677419355,24.6354838709677,33.5,4.37765599266043,18.2648567106945,18.0643585268026,931.75,"SUMMERSIDE",171.44646,33.5,137.94646
2002,"CTW","S","GS",39.94475,43.13392,27.961325,30.193744,35.950275,38.820528,3.18917,2.232419,2.87025300000001,12.6538978494624,21.1956720430108,355.6,4.16568822723495,14.9518598208566,16.6625391948447,1459.45,"SUMMERSIDE",344.57349,355.6,-11.02651
2002,"CTW","S","julaug",39.94475,43.13392,27.961325,30.193744,35.950275,38.820528,3.18917,2.232419,2.87025300000001,14.9661290322581,23.5096774193548,145.1,3.83512544802867,17.1098760801901,17.4363995564264,882.75,"SUMMERSIDE",194.13568,145.1,49.03568
2003,"CTW","S","GS",40.81,43.34604,28.567,30.342228,36.729,39.011436,2.53604,1.775228,2.282436,13.7502419354839,22.7022580645161,275.7,4.32569046737832,16.6054631530596,16.9506087865304,1616.5,"SUMMERSIDE",350.4034,275.7,74.7034
2003,"CTW","S","julaug",40.81,43.34604,28.567,30.342228,36.729,39.011436,2.53604,1.775228,2.282436,15.5854838709677,23.7645161290323,139.9,4.33915770609319,18.374954025535,16.9421445482269,909.85,"SUMMERSIDE",198.29425,139.9,58.39425
2004,"CTW","S","GS",38.85527,40.48812,27.198689,28.341684,34.969743,36.439308,1.63285,1.142995,1.469565,13.0812096774194,20.8255376344086,301.3,4.63933492709717,15.3097389131388,15.6770462347669,1463.75,"SUMMERSIDE",314.1542,301.3,12.8542
2004,"CTW","S","julaug",38.85527,40.48812,27.198689,28.341684,34.969743,36.439308,1.63285,1.142995,1.469565,15.8274193548387,23.5177419354839,168.6,4.14723701737201,18.3310141274169,16.2862279349037,909.7,"SUMMERSIDE",176.89826,153.3,23.59826
2005,"CTW","S","GS",34.70884,42.25455,24.296188,29.578185,31.237956,38.029095,7.54571,5.281997,6.791139,13.2628225806452,21.4875,314.4,4.78699508266114,16.0436453026786,16.0591293215295,1512.9,"SUMMERSIDE",342.51796,314.4,28.11796
2005,"CTW","S","julaug",34.70884,42.25455,24.296188,29.578185,31.237956,38.029095,7.54571,5.281997,6.791139,14.7806451612903,23.1,94.4,4.41595373214997,17.7894294228415,16.7767096925096,864.3,"SUMMERSIDE",180.66917,88.6,92.06917
2006,"CTW","S","GS",44.73367,44.75253,31.313569,31.326771,40.260303,40.277277,0.0188600000000037,0.0132020000000033,0.0169739999999976,13.3616129032258,21.827876344086,376.9,4.65154488727858,16.803545785357,16.2422417362605,1539.25,"SUMMERSIDE",335.88629,376.9,-41.01371
2006,"CTW","S","julaug",44.73367,44.75253,31.313569,31.326771,40.260303,40.277277,0.0188600000000037,0.0132020000000033,0.0169739999999976,14.5032258064516,23.3774193548387,168.2,4.41550925925926,17.9119117131335,17.5244765112901,864.3,"SUMMERSIDE",197.96742,167.6,30.36742
2007,"CTW","S","GS",49.29966,49.29966,34.509762,34.509762,44.369694,44.369694,0,0,0,11.7982795698925,21.3543548387097,306.6,4.56552617347308,15.2243939814964,17.3857423506035,1417,"SUMMERSIDE",335.53795,306.6,28.93795
2007,"CTW","S","julaug",49.29966,49.29966,34.509762,34.509762,44.369694,44.369694,0,0,0,14.3032258064516,23.5387096774194,162.5,4.28181342999891,17.6887390389393,17.9633949403632,863.1,"SUMMERSIDE",202.51813,160,42.51813
2008,"CTW","S","GS",46.50484,47.04646,32.553388,32.932522,41.854356,42.341814,0.541620000000002,0.379134000000001,0.487458000000004,12.2163440860215,20.7075,348.01,4.65492913027915,15.4579916584465,16.3740726770655,1402.4,"SUMMERSIDE",300.11604,348.01,-47.89396
2008,"CTW","S","julaug",46.50484,47.04646,32.553388,32.932522,41.854356,42.341814,0.541620000000002,0.379134000000001,0.487458000000004,14.1193548387097,22.85,142.45,4.54538423792456,17.2518175998357,17.467010911563,836.05,"SUMMERSIDE",177.92458,142.05,35.87458
2009,"CTW","S","GS",46.22663,46.22663,32.358641,32.358641,41.603967,41.603967,0,0,0,12.1788172043011,21.334435483871,501.78,4.62434807948921,15.6215162088834,17.117100192217,1438.3,"SUMMERSIDE",321.90947,501.78,-179.87053
2009,"CTW","S","julaug",46.22663,46.22663,32.358641,32.358641,41.603967,41.603967,0,0,0,14.3209677419355,23.1838709677419,318.18,4.30077949231175,17.9257612249263,17.6538869502321,852.65,"SUMMERSIDE",197.07639,318.18,-121.10361
2010,"CTW","S","GS",47.14088,47.14088,32.998616,32.998616,42.426792,42.426792,0,0,0,12.274435483871,21.6662903225806,446.91,4.48251730183635,15.8355816299829,17.3138732473931,1464.95,"SUMMERSIDE",356.1936,446.91,-90.7164
2010,"CTW","S","julaug",47.14088,47.14088,32.998616,32.998616,42.426792,42.426792,0,0,0,14.3338709677419,24.1725806451613,198.41,4.20573340936244,17.954120104516,18.5068014995115,883.7,"SUMMERSIDE",211.21179,196.31,14.90179
2011,"CTW","S","GS",45.93527,45.93793,32.154689,32.156551,41.341743,41.344137,0.00265999999999877,0.00186200000000269,0.00239400000000245,11.9776075268817,21.0606720430108,273.1,4.71799652182571,15.4306940011657,16.8791868605313,1409.7,"SUMMERSIDE",321.66026,273.1,48.56026
2011,"CTW","S","julaug",45.93527,45.93793,32.154689,32.156551,41.341743,41.344137,0.00265999999999877,0.00186200000000269,0.00239400000000245,14.2935483870968,23.1096774193548,195.2,4.84995909303413,17.4122548116199,17.4957221567342,849.5,"SUMMERSIDE",192.68832,195.2,-2.51167999999996
2012,"CTW","S","GS",35.37165,43.31177,24.760155,30.318239,31.834485,38.980593,7.94012,5.558084,7.146108,12.9508064516129,22.3393010752688,347.4,4.68715924389209,15.7662504140472,17.2734228704347,1547.75,"SUMMERSIDE",345.58268,347.4,-1.81732
2012,"CTW","S","julaug",35.37165,43.31177,24.760155,30.318239,31.834485,38.980593,7.94012,5.558084,7.146108,15.2016129032258,25.141935483871,115.9,4.2185633213859,17.7878617562415,18.651220277825,940.65,"SUMMERSIDE",202.97374,115.6,87.37374
2013,"CTW","S","GS",40.90565,45.77368,28.633955,32.041576,36.815085,41.196312,4.86803,3.407621,4.381227,12.7949462365591,22.3044623655914,322.7,4.6654499918737,15.6756476945004,17.4926094501221,1535.5,"SUMMERSIDE",339.66564,322.7,16.96564
2013,"CTW","S","julaug",40.90565,45.77368,28.633955,32.041576,36.815085,41.196312,4.86803,3.407621,4.381227,14.6532258064516,24.8822580645161,109.9,4.32534275078981,17.3198235617306,19.0096464580566,915.6,"SUMMERSIDE",205.52115,105.3,100.22115
2014,"CTW","S","GS",39.09066,44.70743,27.363462,31.295201,35.181594,40.236687,5.61677,3.931739,5.055093,13.0813978494624,22.2386559139785,271.7,5.02613392377885,15.9010592803679,17.0839604492014,1549.2,"SUMMERSIDE",353.57196,271.7,81.87196
2014,"CTW","S","julaug",39.09066,44.70743,27.363462,31.295201,35.181594,40.236687,5.61677,3.931739,5.055093,15.6661290322581,24.3306451612903,129.9,5.20304951690821,18.5429811812811,17.518876357637,929.9,"SUMMERSIDE",198.27091,113.9,84.37091
2015,"CTW","S","GS",40.84109,40.96462,28.588763,28.675234,36.756981,36.868158,0.123529999999995,0.086470999999996,0.111176999999998,13.2104301075269,22.4181451612903,394,4.63203479541795,16.8827597464904,17.1304495076245,1568.2,"SUMMERSIDE",325.26758,394,-68.73242
2015,"CTW","S","julaug",40.84109,40.96462,28.588763,28.675234,36.756981,36.868158,0.123529999999995,0.086470999999996,0.111176999999998,15.9241935483871,24.5612903225806,150.9,4.38762626262626,20.2571462346439,17.4547545185228,945.05,"SUMMERSIDE",164.48854,135.8,28.68854
2016,"CTW","S","GS",39.13493,45.84768,27.394451,32.093376,35.221437,41.262912,6.71275,4.698925,6.041475,12.212311827957,21.6145698924731,250.9,4.72679584826762,15.6706198878886,17.2921208878121,1457,"SUMMERSIDE",330.09345,250.9,79.19345
2016,"CTW","S","julaug",39.13493,45.84768,27.394451,32.093376,35.221437,41.262912,6.71275,4.698925,6.041475,13.7112903225806,23.6758064516129,143.1,4.32048984468339,17.3229169849919,18.6046040144555,849,"SUMMERSIDE",195.49241,134.5,60.99241
2017,"CTW","S","GS",32.14141,48.73168,22.498987,34.112176,28.927269,43.858512,16.59027,11.613189,14.931243,12.2491935483871,22.2362365591398,220.3,4.68712015154436,15.5686797937654,17.9454906854563,1496.6,"SUMMERSIDE",292.79245,220.3,72.49245
